threshold_mm,cls,A,window,success_rate,success,wrong_placement,wrong_class,late,no_response
500.0000,SHORT,72.0000,150,44.6809,21,15,1,0,10
500.0000,SHORT,72.0000,200,68.0851,32,12,1,0,2
500.0000,SHORT,72.0000,250,82.9787,39,4,2,0,2
500.0000,SHORT,72.0000,300,78.7234,37,4,2,4,0
500.0000,SHORT,72.0000,350,65.9574,31,0,1,15,0
500.0000,SHORT,72.0000,400,40.4255,19,0,0,28,0
500.0000,SHORT,72.0000,450,23.4043,11,1,0,35,0
500.0000,SHORT,72.0000,490,21.2766,10,0,0,37,0
500.0000,SHORT,72.0000,500,19.1489,9,1,0,37,0
500.0000,SHORT,72.0000,550,19.1489,9,0,0,38,0
500.0000,SHORT,72.0000,600,17.0213,8,0,0,39,0
500.0000,SHORT,72.0000,650,12.7660,6,0,0,41,0
500.0000,SHORT,72.0000,700,8.5106,4,1,0,42,0
500.0000,SHORT,72.0000,750,6.3830,3,0,0,44,0
500.0000,SHORT,72.0000,800,0.0000,0,0,0,47,0
500.0000,SHORT,72.0000,850,0.0000,0,0,0,47,0
500.0000,SHORT,72.0000,900,0.0000,0,0,0,47,0
500.0000,SHORT,72.0000,950,0.0000,0,0,0,47,0
500.0000,SHORT,72.0000,1000,0.0000,0,0,0,47,0
500.0000,SHORT,72.0000,1050,0.0000,0,0,0,47,0
500.0000,SHORT,72.0000,1100,0.0000,0,0,0,47,0
500.0000,SHORT,72.0000,1150,0.0000,0,0,0,47,0
500.0000,SHORT,72.0000,1200,0.0000,0,0,0,46,1
500.0000,SHORT,72.0000,1250,0.0000,0,0,0,47,0
500.0000,LONG,72.0000,150,5.0000,3,12,10,0,35
500.0000,LONG,72.0000,200,16.6667,10,23,12,0,15
500.0000,LONG,72.0000,250,25.0000,15,26,10,0,9
500.0000,LONG,72.0000,300,38.3333,23,26,10,0,1
500.0000,LONG,72.0000,350,53.3333,32,17,11,0,0
500.0000,LONG,72.0000,400,66.6667,40,14,6,0,0
500.0000,LONG,72.0000,450,73.3333,44,13,2,0,1
500.0000,LONG,72.0000,490,76.6667,46,10,3,0,1
500.0000,LONG,72.0000,500,81.6667,49,7,3,0,1
500.0000,LONG,72.0000,550,86.6667,52,4,3,0,1
500.0000,LONG,72.0000,600,85.0000,51,8,1,0,0
500.0000,LONG,72.0000,650,95.0000,57,2,1,0,0
500.0000,LONG,72.0000,700,95.0000,57,2,1,0,0
500.0000,LONG,72.0000,750,95.0000,57,0,0,3,0
500.0000,LONG,72.0000,800,81.6667,49,0,0,10,1
500.0000,LONG,72.0000,850,65.0000,39,0,0,21,0
500.0000,LONG,72.0000,900,46.6667,28,0,0,31,1
500.0000,LONG,72.0000,950,23.3333,14,0,1,45,0
500.0000,LONG,72.0000,1000,15.0000,9,0,0,51,0
500.0000,LONG,72.0000,1050,8.3333,5,0,0,55,0
500.0000,LONG,72.0000,1100,5.0000,3,0,0,53,4
500.0000,LONG,72.0000,1150,1.6667,1,0,0,59,0
500.0000,LONG,72.0000,1200,0.0000,0,0,0,59,1
500.0000,LONG,72.0000,1250,0.0000,0,0,0,59,1
500.0000,SHORT,135.0000,150,44.6809,21,15,1,0,10
500.0000,SHORT,135.0000,200,68.0851,32,12,1,0,2
500.0000,SHORT,135.0000,250,72.3404,34,4,2,5,2
500.0000,SHORT,135.0000,300,53.1915,25,4,2,16,0
500.0000,SHORT,135.0000,350,38.2979,18,0,1,28,0
500.0000,SHORT,135.0000,400,25.5319,12,0,0,35,0
500.0000,SHORT,135.0000,450,19.1489,9,1,0,37,0
500.0000,SHORT,135.0000,490,19.1489,9,0,0,38,0
500.0000,SHORT,135.0000,500,17.0213,8,1,0,38,0
500.0000,SHORT,135.0000,550,17.0213,8,0,0,39,0
500.0000,SHORT,135.0000,600,12.7660,6,0,0,41,0
500.0000,SHORT,135.0000,650,10.6383,5,0,0,42,0
500.0000,SHORT,135.0000,700,4.2553,2,1,0,44,0
500.0000,SHORT,135.0000,750,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,800,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,850,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,900,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,950,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,1000,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,1050,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,1100,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,1150,0.0000,0,0,0,47,0
500.0000,SHORT,135.0000,1200,0.0000,0,0,0,46,1
500.0000,SHORT,135.0000,1250,0.0000,0,0,0,47,0
500.0000,LONG,135.0000,150,5.0000,3,12,10,0,35
500.0000,LONG,135.0000,200,16.6667,10,23,12,0,15
500.0000,LONG,135.0000,250,25.0000,15,26,10,0,9
500.0000,LONG,135.0000,300,38.3333,23,26,10,0,1
500.0000,LONG,135.0000,350,53.3333,32,17,11,0,0
500.0000,LONG,135.0000,400,66.6667,40,14,6,0,0
500.0000,LONG,135.0000,450,73.3333,44,13,2,0,1
500.0000,LONG,135.0000,490,76.6667,46,10,3,0,1
500.0000,LONG,135.0000,500,81.6667,49,7,3,0,1
500.0000,LONG,135.0000,550,86.6667,52,4,3,0,1
500.0000,LONG,135.0000,600,85.0000,51,8,1,0,0
500.0000,LONG,135.0000,650,95.0000,57,2,1,0,0
500.0000,LONG,135.0000,700,90.0000,54,2,1,3,0
500.0000,LONG,135.0000,750,83.3333,50,0,0,10,0
500.0000,LONG,135.0000,800,66.6667,40,0,0,19,1
500.0000,LONG,135.0000,850,43.3333,26,0,0,34,0
500.0000,LONG,135.0000,900,23.3333,14,0,0,45,1
500.0000,LONG,135.0000,950,15.0000,9,0,0,51,0
500.0000,LONG,135.0000,1000,8.3333,5,0,0,55,0
500.0000,LONG,135.0000,1050,1.6667,1,0,0,59,0
500.0000,LONG,135.0000,1100,1.6667,1,0,0,55,4
500.0000,LONG,135.0000,1150,0.0000,0,0,0,60,0
500.0000,LONG,135.0000,1200,0.0000,0,0,0,59,1
500.0000,LONG,135.0000,1250,0.0000,0,0,0,59,1
500.0000,SHORT,220.0000,150,44.6809,21,14,1,1,10
500.0000,SHORT,220.0000,200,51.0638,24,11,1,9,2
500.0000,SHORT,220.0000,250,36.1702,17,4,2,22,2
500.0000,SHORT,220.0000,300,21.2766,10,2,2,33,0
500.0000,SHORT,220.0000,350,21.2766,10,0,1,36,0
500.0000,SHORT,220.0000,400,19.1489,9,0,0,38,0
500.0000,SHORT,220.0000,450,17.0213,8,1,0,38,0
500.0000,SHORT,220.0000,490,14.8936,7,0,0,40,0
500.0000,SHORT,220.0000,500,12.7660,6,1,0,40,0
500.0000,SHORT,220.0000,550,12.7660,6,0,0,41,0
500.0000,SHORT,220.0000,600,10.6383,5,0,0,42,0
500.0000,SHORT,220.0000,650,4.2553,2,0,0,45,0
500.0000,SHORT,220.0000,700,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,750,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,800,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,850,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,900,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,950,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,1000,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,1050,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,1100,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,1150,0.0000,0,0,0,47,0
500.0000,SHORT,220.0000,1200,0.0000,0,0,0,46,1
500.0000,SHORT,220.0000,1250,0.0000,0,0,0,47,0
500.0000,LONG,220.0000,150,5.0000,3,12,10,0,35
500.0000,LONG,220.0000,200,16.6667,10,23,12,0,15
500.0000,LONG,220.0000,250,25.0000,15,26,10,0,9
